MacAddress,IpPrivate,IpPublic1,IpPublic2,Value1,Value2,Value3,Value4,Status,Location,DateTime,Description
0023.ed12.ae30,192.168.28.71,100.65.104.147,c83a.3538.b570,36.1,55.2,-3.6,229,online,2/0-12D2C0-U1C0L0,4/13/2016 9:00:04 PM,
0023.ed1d.24ee,192.168.20.84,100.65.100.35,90f6.52c1.b1db,36.8,48.0,+11.7,192,online,2/0-12D2C0-U2C0L0,4/13/2016 9:00:04 PM,
e483.9977.6763,192.168.38.2,100.65.98.169,a0f3.c1b2.3bc9,30.6,55.2,-16.1,190,online,2/0-12D2C0-U2C0L0,4/13/2016 9:00:04 PM,
a47a.a46f.b489,192.168.13.156,100.65.115.92,c83a.350e.d5f8,36.5,50.7,-6.0,217,online,2/0-12D2C0-U4C0L0,4/13/2016 9:00:04 PM,
0023.edd2.7788,192.168.13.243,,,37.6,46.0,+6.9,232,online,2/0-12D2C0-U4C0L0,4/13/2016 9:00:04 PM,
0021.43e7.bd70,192.168.28.199,101.99.37.9,c4e9.848e.8189,36.0,51.0,+3.0,225,online,2/0-12D2C0-U4C0L0,4/13/2016 9:00:04 PM,
0023.ee09.0d32,192.168.17.44,100.65.114.35,c83a.3542.2738,36.8,54.0,-7.0,234,online,2/0-12D2C0-U4C0L0,4/13/2016 9:00:04 PM,
386b.bb15.c948,192.168.18.28,100.65.102.26,c83a.3518.2360,36.1,46.2,-7.1,227,online,2/0-12D2C0-U4C0L0,4/13/2016 9:00:04 PM,
386b.bbdd.7330,192.168.18.67,100.65.105.29,c83a.352a.6338,37.6,49.4,-0.7,202,online,2/0-12D2C0-U4C0L0,4/13/2016 9:00:04 PM,
a47a.a46c.e588,192.168.21.35,101.99.38.77,14cc.203c.ee9f,37.6,52.7,-1.3,226,online,2/0-12D2C0-U4C0L0,4/13/2016 9:00:04 PM,
0019.5e28.be3a,192.168.12.77,100.65.110.101,30b5.c2f1.b1d1,36.4,55.2,+4.1,215,online,2/0-12D2C0-U4C0L0,4/13/2016 9:00:04 PM,
0021.43d7.951e,192.168.15.232,100.65.109.189,c83a.3556.b6e0,35.7,47.0,-5.1,232,online,2/0-12D2C0-U4C0L0,4/13/2016 9:00:04 PM,
0021.43e1.6ea4,192.168.35.40,100.65.111.224,c83a.3542.26e8,34.0,52.0,+0.1,200,online,2/0-12D2C0-U4C0L0,4/13/2016 9:00:04 PM,
386b.bb15.c8bb,192.168.15.81,100.65.112.246,a42b.b0ac.4a5d,36.3,40.4,+0.0,198,online,2/0-12D2C1-U2C0L0,4/13/2016 9:00:04 PM,
0021.43ea.56b6,192.168.31.84,100.65.114.145,c83a.3524.2c40,35.4,44.0,-3.3,214,online,2/0-12D2C1-U4C0L0,4/13/2016 9:00:04 PM,
0022.10e4.ecbc,192.168.36.35,100.65.99.98,a0d3.c11b.b24e,36.8,38.9,-1.9,229,online,2/0-12D2C1-U4C0L0,4/13/2016 9:00:04 PM,
0023.edd4.1822,192.168.13.161,101.99.38.40,14cc.203d.01d1,33.7,45.0,-11.4,215,online,2/0-12D2C1-U4C0L0,4/13/2016 9:00:04 PM,
0023.ed12.3cf6,192.168.12.192,100.65.111.185,e894.f6e7.628f,36.2,44.0,+2.2,212,online,2/0-12D2C1-U4C0L0,4/13/2016 9:00:04 PM,
e483.9977.66e0,192.168.33.70,,,38.2,37.9,+0.5,230,online,2/0-12D2C1-U4C0L0,4/13/2016 9:00:04 PM,
0019.5e27.31b0,192.168.14.144,100.65.101.220,a42b.b0fb.e7e3,35.4,39.9,-7.0,233,online,2/0-12D2C1-U4C0L0,4/13/2016 9:00:04 PM,
001a.ad74.c934,192.168.11.229,100.65.99.24,c83a.3506.4ea8,35.3,53.4,-10.3,218,online,2/0-12D2C1-U4C0L0,4/13/2016 9:00:04 PM,
3c75.4aea.ba31,192.168.26.204,100.65.109.214,c412.f550.2af2,33.9,55.2,-13.6,233,online,2/0-12D2C2-U2C0L0,4/13/2016 9:00:04 PM,
000e.092e.e91d,192.168.35.142,100.65.114.227,c83a.3542.3170,32.2,60.9,-9.5,218,online,2/0-12D2C2-U3C0L0,4/13/2016 9:00:04 PM,
0013.7179.f6b8,192.168.15.174,101.99.38.156,c83a.3556.18e0,33.8,49.0,-12.0,224,online,2/0-12D2C2-U4C0L0,4/13/2016 9:00:04 PM,
0014.e865.57c6,192.168.30.125,100.65.100.83,c83a.3534.27d0,34.8,52.0,-9.4,226,online,2/0-12D2C2-U4C0L0,4/13/2016 9:00:04 PM,
0014.e865.cc6c,192.168.34.23,100.65.105.87,c83a.3511.8240,37.0,37.9,+2.6,223,online,2/0-12D2C2-U4C0L0,4/13/2016 9:00:04 PM,
001a.ad92.5918,192.168.20.201,100.65.104.82,c04a.00e9.c447,35.0,48.0,-4.8,224,online,2/0-12D2C2-U4C0L0,4/13/2016 9:00:04 PM,
001a.adad.0188,192.168.37.85,100.65.114.121,f4f2.6d6b.811d,36.8,36.9,-5.1,214,online,2/0-12D2C2-U4C0L0,4/13/2016 9:00:04 PM,
001b.ddd8.70f8,192.168.26.250,100.65.105.62,c4e9.847e.92d5,35.5,47.0,-8.9,227,online,2/0-12D2C2-U4C0L0,4/13/2016 9:00:04 PM,
0023.74fb.1ef2,192.168.36.159,101.99.38.120,000f.b512.e655,36.8,50.0,+4.0,227,online,2/0-12D2C2-U4C0L0,4/13/2016 9:00:04 PM,
